user_id,user_name,week,opponent_id,opponent_name,points_for,points_against,points_spread,playoffs,wins,losses,ties,current_period,waiver_budget_left,division,points_potential,win_streak,record,leauge_id,year
460510059265257472,bhamm21,1,465576697861763072,ThunderDunk,125.8,135.52,-9.72,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,1,460510059265257472,bhamm21,135.52,125.8,9.72,False,1,0,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,1,861029102113644544,mattruscio,92.46,98.2,-5.74,False,0,1,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,1,461711675867787264,jcsalvo,98.2,92.46,5.74,False,1,0,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,1,860555918687993856,shepmcallister,118.12,102.58,15.54,False,1,0,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,1,460534003280113664,tonykauff,102.58,118.12,-15.54,False,0,1,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,1,860620212628754432,svh1126,122.5,135.56,-13.06,False,0,1,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,1,335814844546564096,willjrush,135.56,122.5,13.06,False,1,0,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,1,861010256195612672,mtthompson50,159.12,92.98,66.14,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,1,861005337191354368,Gh8stfaceKillah,92.98,159.12,-66.14,False,0,1,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,2,460534003280113664,tonykauff,113.2,133.68,-20.48,False,0,1,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,2,460510059265257472,bhamm21,133.68,113.2,20.48,False,1,0,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,2,465576697861763072,ThunderDunk,103.5,138.86,-35.36,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,2,461711675867787264,jcsalvo,138.86,103.5,35.36,False,1,0,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,2,861005337191354368,Gh8stfaceKillah,121.48,145.72,-24.24,False,0,1,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,2,860555918687993856,shepmcallister,145.72,121.48,24.24,False,1,0,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,2,861029102113644544,mattruscio,104.78,115.96,-11.18,False,0,1,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,2,335814844546564096,willjrush,115.96,104.78,11.18,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,2,861010256195612672,mtthompson50,130.56,111.16,19.4,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,2,860620212628754432,svh1126,111.16,130.56,-19.4,False,0,1,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,3,461711675867787264,jcsalvo,116.28,115.3,0.98,False,1,0,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,3,460510059265257472,bhamm21,115.3,116.28,-0.98,False,0,1,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,3,861005337191354368,Gh8stfaceKillah,96.26,141.62,-45.36,False,0,1,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,3,460534003280113664,tonykauff,141.62,96.26,45.36,False,1,0,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,3,860620212628754432,svh1126,118.6,82.34,36.26,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,3,860555918687993856,shepmcallister,82.34,118.6,-36.26,False,0,1,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,3,465576697861763072,ThunderDunk,88.76,125.4,-36.64,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,3,335814844546564096,willjrush,125.4,88.76,36.64,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,3,861029102113644544,mattruscio,97.84,107.16,-9.32,False,0,1,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,3,861010256195612672,mtthompson50,107.16,97.84,9.32,False,1,0,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,4,335814844546564096,willjrush,144.86,89.76,55.1,False,1,0,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,4,460510059265257472,bhamm21,89.76,144.86,-55.1,False,0,1,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,4,861005337191354368,Gh8stfaceKillah,139.56,127.76,11.8,False,1,0,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,4,461711675867787264,jcsalvo,127.76,139.56,-11.8,False,0,1,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,4,860620212628754432,svh1126,126.68,101.4,25.28,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,4,460534003280113664,tonykauff,101.4,126.68,-25.28,False,0,1,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,4,861010256195612672,mtthompson50,122.92,111.34,11.58,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,4,860555918687993856,shepmcallister,111.34,122.92,-11.58,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,4,861029102113644544,mattruscio,109.08,125.88,-16.8,False,0,1,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,4,465576697861763072,ThunderDunk,125.88,109.08,16.8,False,1,0,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,5,861029102113644544,mattruscio,106.08,112.96,-6.88,False,0,1,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,5,460510059265257472,bhamm21,112.96,106.08,6.88,False,1,0,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,5,335814844546564096,willjrush,129.36,133.74,-4.38,False,0,1,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,5,461711675867787264,jcsalvo,133.74,129.36,4.38,False,1,0,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,5,861010256195612672,mtthompson50,150.0,103.24,46.76,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,5,460534003280113664,tonykauff,103.24,150.0,-46.76,False,0,1,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,5,465576697861763072,ThunderDunk,126.06,97.6,28.46,False,1,0,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,5,860555918687993856,shepmcallister,97.6,126.06,-28.46,False,0,1,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,5,861005337191354368,Gh8stfaceKillah,99.32,117.36,-18.04,False,0,1,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,5,860620212628754432,svh1126,117.36,99.32,18.04,False,1,0,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,6,860555918687993856,shepmcallister,87.52,116.36,-28.84,False,0,1,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,6,460510059265257472,bhamm21,116.36,87.52,28.84,False,1,0,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,6,460534003280113664,tonykauff,92.68,109.58,-16.9,False,0,1,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,6,461711675867787264,jcsalvo,109.58,92.68,16.9,False,1,0,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,6,861005337191354368,Gh8stfaceKillah,130.1,99.04,31.06,False,1,0,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,6,335814844546564096,willjrush,99.04,130.1,-31.06,False,0,1,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,6,861029102113644544,mattruscio,98.02,83.38,14.64,False,1,0,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,6,860620212628754432,svh1126,83.38,98.02,-14.64,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,6,861010256195612672,mtthompson50,107.4,114.82,-7.42,False,0,1,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,6,465576697861763072,ThunderDunk,114.82,107.4,7.42,False,1,0,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,7,861010256195612672,mtthompson50,108.42,96.8,11.62,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,7,460510059265257472,bhamm21,96.8,108.42,-11.62,False,0,1,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,7,860555918687993856,shepmcallister,84.2,147.28,-63.08,False,0,1,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,7,461711675867787264,jcsalvo,147.28,84.2,63.08,False,1,0,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,7,335814844546564096,willjrush,117.56,99.94,17.62,False,1,0,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,7,460534003280113664,tonykauff,99.94,117.56,-17.62,False,0,1,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,7,465576697861763072,ThunderDunk,109.92,147.04,-37.12,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,7,860620212628754432,svh1126,147.04,109.92,37.12,False,1,0,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,7,861029102113644544,mattruscio,100.92,99.58,1.34,False,1,0,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,7,861005337191354368,Gh8stfaceKillah,99.58,100.92,-1.34,False,0,1,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,8,860620212628754432,svh1126,130.36,120.68,9.68,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,8,460510059265257472,bhamm21,120.68,130.36,-9.68,False,0,1,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,8,861010256195612672,mtthompson50,134.14,154.2,-20.06,False,0,1,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,8,461711675867787264,jcsalvo,154.2,134.14,20.06,False,1,0,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,8,861029102113644544,mattruscio,159.74,124.18,35.56,False,1,0,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,8,460534003280113664,tonykauff,124.18,159.74,-35.56,False,0,1,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,8,335814844546564096,willjrush,123.22,122.98,0.24,False,1,0,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,8,860555918687993856,shepmcallister,122.98,123.22,-0.24,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,8,861005337191354368,Gh8stfaceKillah,115.68,122.0,-6.32,False,0,1,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,8,465576697861763072,ThunderDunk,122.0,115.68,6.32,False,1,0,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,9,861005337191354368,Gh8stfaceKillah,151.74,94.64,57.1,False,1,0,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,9,460510059265257472,bhamm21,94.64,151.74,-57.1,False,0,1,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,9,860620212628754432,svh1126,141.8,110.0,31.8,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,9,461711675867787264,jcsalvo,110.0,141.8,-31.8,False,0,1,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,9,465576697861763072,ThunderDunk,121.8,132.14,-10.34,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,9,460534003280113664,tonykauff,132.14,121.8,10.34,False,1,0,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,9,861029102113644544,mattruscio,99.6,84.54,15.06,False,1,0,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,9,860555918687993856,shepmcallister,84.54,99.6,-15.06,False,0,1,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,9,861010256195612672,mtthompson50,131.3,69.3,62.0,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,9,335814844546564096,willjrush,69.3,131.3,-62.0,False,0,1,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,10,465576697861763072,ThunderDunk,148.24,99.8,48.44,False,1,0,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,10,460510059265257472,bhamm21,99.8,148.24,-48.44,False,0,1,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,10,861029102113644544,mattruscio,133.38,131.34,2.04,False,1,0,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,10,461711675867787264,jcsalvo,131.34,133.38,-2.04,False,0,1,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,10,860555918687993856,shepmcallister,113.1,106.8,6.3,False,1,0,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,10,460534003280113664,tonykauff,106.8,113.1,-6.3,False,0,1,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,10,860620212628754432,svh1126,108.28,101.7,6.58,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,10,335814844546564096,willjrush,101.7,108.28,-6.58,False,0,1,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,10,861010256195612672,mtthompson50,83.7,90.62,-6.92,False,0,1,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,10,861005337191354368,Gh8stfaceKillah,90.62,83.7,6.92,False,1,0,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,11,460534003280113664,tonykauff,185.56,147.32,38.24,False,1,0,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,11,460510059265257472,bhamm21,147.32,185.56,-38.24,False,0,1,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,11,465576697861763072,ThunderDunk,105.82,129.5,-23.68,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,11,461711675867787264,jcsalvo,129.5,105.82,23.68,False,1,0,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,11,861005337191354368,Gh8stfaceKillah,129.14,94.72,34.42,False,1,0,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,11,860555918687993856,shepmcallister,94.72,129.14,-34.42,False,0,1,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,11,861029102113644544,mattruscio,97.4,100.84,-3.44,False,0,1,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,11,335814844546564096,willjrush,100.84,97.4,3.44,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,11,861010256195612672,mtthompson50,104.8,76.28,28.52,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,11,860620212628754432,svh1126,76.28,104.8,-28.52,False,0,1,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,12,461711675867787264,jcsalvo,141.0,87.22,53.78,False,1,0,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,12,460510059265257472,bhamm21,87.22,141.0,-53.78,False,0,1,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,12,861005337191354368,Gh8stfaceKillah,129.64,88.86,40.78,False,1,0,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,12,460534003280113664,tonykauff,88.86,129.64,-40.78,False,0,1,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,12,860620212628754432,svh1126,146.72,98.26,48.46,False,1,0,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,12,860555918687993856,shepmcallister,98.26,146.72,-48.46,False,0,1,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,12,465576697861763072,ThunderDunk,103.14,149.74,-46.6,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,12,335814844546564096,willjrush,149.74,103.14,46.6,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,12,861029102113644544,mattruscio,134.04,115.82,18.22,False,1,0,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,12,861010256195612672,mtthompson50,115.82,134.04,-18.22,False,0,1,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,13,335814844546564096,willjrush,174.22,100.9,73.32,False,1,0,0,False,,,,,,860234229617971200,2022
335814844546564096,willjrush,13,460510059265257472,bhamm21,100.9,174.22,-73.32,False,0,1,0,False,,,,,,860234229617971200,2022
461711675867787264,jcsalvo,13,861005337191354368,Gh8stfaceKillah,125.66,139.54,-13.88,False,0,1,0,False,,,,,,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,13,461711675867787264,jcsalvo,139.54,125.66,13.88,False,1,0,0,False,,,,,,860234229617971200,2022
460534003280113664,tonykauff,13,860620212628754432,svh1126,110.84,130.3,-19.46,False,0,1,0,False,,,,,,860234229617971200,2022
860620212628754432,svh1126,13,460534003280113664,tonykauff,130.3,110.84,19.46,False,1,0,0,False,,,,,,860234229617971200,2022
860555918687993856,shepmcallister,13,861010256195612672,mtthompson50,104.82,99.14,5.68,False,1,0,0,False,,,,,,860234229617971200,2022
861010256195612672,mtthompson50,13,860555918687993856,shepmcallister,99.14,104.82,-5.68,False,0,1,0,False,,,,,,860234229617971200,2022
465576697861763072,ThunderDunk,13,861029102113644544,mattruscio,103.24,80.66,22.58,False,1,0,0,False,,,,,,860234229617971200,2022
861029102113644544,mattruscio,13,465576697861763072,ThunderDunk,80.66,103.24,-22.58,False,0,1,0,False,,,,,,860234229617971200,2022
460510059265257472,bhamm21,14,861029102113644544,mattruscio,132.68,86.02,46.66,False,1,0,0,True,0.0,2.0,2099.36,8W,LLWWLLWWWWWWWW,860234229617971200,2022
861029102113644544,mattruscio,14,460510059265257472,bhamm21,86.02,132.68,-46.66,False,0,1,0,True,37.0,2.0,1636.16,3L,WWWWWLLLLLWLLL,860234229617971200,2022
461711675867787264,jcsalvo,14,335814844546564096,willjrush,120.86,106.76,14.1,False,1,0,0,True,5.0,2.0,1726.8,1W,LLLWLLLLWWLLLW,860234229617971200,2022
335814844546564096,willjrush,14,461711675867787264,jcsalvo,106.76,120.86,-14.1,False,0,1,0,True,39.0,2.0,1665.14,4L,LLLLWWLLWWLLLL,860234229617971200,2022
460534003280113664,tonykauff,14,861010256195612672,mtthompson50,93.36,129.7,-36.34,False,0,1,0,True,45.0,1.0,1897.96,2L,WWLWWWWWLWLWLL,860234229617971200,2022
861010256195612672,mtthompson50,14,460534003280113664,tonykauff,129.7,93.36,36.34,False,1,0,0,True,57.0,1.0,1655.68,1W,LLLLLWLWLWLWLW,860234229617971200,2022
860555918687993856,shepmcallister,14,465576697861763072,ThunderDunk,128.28,96.66,31.62,False,1,0,0,True,0.0,1.0,1856.16,4W,LLWWWWWWWLWWWW,860234229617971200,2022
465576697861763072,ThunderDunk,14,860555918687993856,shepmcallister,96.66,128.28,-31.62,False,0,1,0,True,68.0,2.0,1963.6,1L,WWWLLLWLWLWWWL,860234229617971200,2022
860620212628754432,svh1126,14,861005337191354368,Gh8stfaceKillah,111.98,154.38,-42.4,False,0,1,0,True,80.0,1.0,1684.36,1L,WWLLLWLLLLWLWL,860234229617971200,2022
861005337191354368,Gh8stfaceKillah,14,860620212628754432,svh1126,154.38,111.98,42.4,False,1,0,0,True,58.0,1.0,1866.34,2W,WWWLWLWWLLLLWW,860234229617971200,2022
460510059265257472,bhamm21,1,861005337191354368,Gh8stfaceKillah,24.1,0.0,24.1,False,1,0,0,True,100.0,2.0,,,,995872079285313536,2023
861005337191354368,Gh8stfaceKillah,1,460510059265257472,bhamm21,0.0,24.1,-24.1,False,0,1,0,True,100.0,1.0,,,,995872079285313536,2023
461711675867787264,jcsalvo,1,460534003280113664,tonykauff,0.0,10.0,-10.0,False,0,1,0,True,100.0,2.0,,,,995872079285313536,2023
460534003280113664,tonykauff,1,461711675867787264,jcsalvo,10.0,0.0,10.0,False,1,0,0,True,100.0,2.0,,,,995872079285313536,2023
860555918687993856,shepmcallister,1,335814844546564096,willjrush,0.0,0.0,0.0,False,0,0,1,True,100.0,2.0,,,,995872079285313536,2023
335814844546564096,willjrush,1,860555918687993856,shepmcallister,0.0,0.0,0.0,False,0,0,1,True,100.0,2.0,,,,995872079285313536,2023
996918267551825920,BgRdShoes,1,861010256195612672,mtthompson50,19.54,0.0,19.54,False,1,0,0,True,100.0,1.0,,,,995872079285313536,2023
861010256195612672,mtthompson50,1,996918267551825920,BgRdShoes,0.0,19.54,-19.54,False,0,1,0,True,100.0,1.0,,,,995872079285313536,2023
465576697861763072,ThunderDunk,1,861029102113644544,mattruscio,0.0,0.0,0.0,False,0,0,1,True,100.0,1.0,,,,995872079285313536,2023
861029102113644544,mattruscio,1,465576697861763072,ThunderDunk,0.0,0.0,0.0,False,0,0,1,True,100.0,1.0,,,,995872079285313536,2023
